id,name,meals,tags,taste,speed,menus,tip
p_jjim3,청년찜닭 안양,"dinner,late",찜닭,4,4,"치즈찜닭,순살",여럿이 먹기 좋음
p_ma1,마라탕전문점 신야,"dinner,late",마라탕,5,4,"마라탕,마라샹궈",배민 아시안 상위
p_ma2,양꼬치&마라 안양,"dinner,late",마라탕,4,4,"마라탕,꿔바로우",야식 가능
p_ma3,마라공방 평촌,dinner,마라탕,4,5,"마라탕,빙수",배달 스피드
p_tteok1,신전떡볶이 안양3동,"snack,late,lunch",떡볶이,4,5,"떡볶이,튀김세트,라볶이",간식·야식 단골
p_tteok2,엽기떡볶이 평촌,"snack,late",떡볶이,4,4,"엽기떡볶이,주먹김밥",매운맛
p_tteok3,국대떡볶이 안양,"snack,late",떡볶이,5,4,"국대떡볶이,튀김",로컬 고평점
p_bung1,호호붕어빵 안양역,snack,붕어빵,5,5,"붕어빵,계란빵",따뜻한 간식
p_bung2,겨울간식카트(3동),snack,붕어빵,4,5,"붕어빵,호떡",근처 포장
p_bung3,달달붕어빵,snack,붕어빵,4,4,"슈크림붕어빵,피자붕어빵",간식 리뷰 좋음
p_cafe1,메가커피 안양3동,snack,카페·빵,4,5,"아메리카노,쿠키",배달 빠름
p_cafe2,파리바게뜨 호계,snack,카페·빵,4,4,"크루아상,샌드위치",빵·디저트
p_cafe3,컴포즈커피 범계,snack,카페·빵,3,5,"아메리카노,스콘",가성비
p_ice1,배스킨라빈스 안양,snack,아이스크림,5,4,"파인트,싱글레귤러",디저트 상위
p_ice2,설빙 평촌점,snack,아이스크림,4,3,"인절미설빙,치즈설빙",빙수
p_ice3,나뚜루픽업 안양,snack,아이스크림,4,5,"파인트,컵",픽업 빠름
p_ram1,야식라면공장 3동,late,야식라면,4,5,"짜파구리,비빔면세트,만두",자정 이후
p_ram2,포장마차라면야식,late,야식라면,3,5,"라면,김밥,튀김",급할 때
p_ram3,심야라면연구소,late,야식라면,4,4,"차돌라면,계란추가",야근러 추천
p_gop1,곱창마을 안양,"late,dinner",곱창,5,3,"모둠곱창,막창,볶음밥",야식 끝판왕
p_gop2,하루곱창 평촌,late,곱창,4,3,"곱창전골,모둠",양 많음
p_gop3,불곱창명가,"late,dinner",곱창,4,4,"곱창구이,대창",맛 안정
